one_star_rating,two_star_rating,three_star_rating,four_star_rating,five_star_rating,accessible_rooms,air_conditioning,airport_transportation,bar_lounge,breakfast_available,breakfast_buffet,breakfast_included,business_center,concierge,dry_cleaning,facilities_for_disabled_guests,family_rooms,fitness_center,free_airport_transportation,free_internet,free_parking,free_wifi,heated_pool,hot_tub,housekeeping,indoor_pool,internet,kitchenette,laundry_service,meeting_rooms,multilingual_staff,nonSmoking_hotel,nonSmoking_rooms,parking,pets_allowed,pool,public_wifi,restaurant,rooftop_bar,rooftop_terrace,room_service,self_serve_laundry,shuttle_bus_service,spa,suites,tennis_court,wheelchair_access,wifi,address,latitude,locality,longitude,name,phone,rating,review_num,star,street_address,web,price,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
59,75,197,702,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,"653 11th Avenue at 48th, New York City, NY 10036-2004",40.7645758,"New York City, NY 10036-2004",-73.99595,Kimpton Ink48 Hotel,18778438869,4.5,3325,4,653 11th Avenue at 48th,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=1158753&url=1,469,Comfort Inn Midtown West,Travel Inn Hotel New York,Cachet Boutique,Holiday Inn Express Manhattan Midtown West,YOTEL New York,Cassa Hotel Times Square,36 Hudson Hotel,Hudson River Hotel,TRYP HOTEL NYC - Times Square South by Wyndham,Pod Times Square,254,190,365,285,260,285,206,196,289,199
14,20,48,151,580,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,"231 Hudson St, New York City, NY 10013-1412",40.7244552,"New York City, NY 10013-1412",-74.0080534,Arlo SoHo,2123427000,4.5,934,4,231 Hudson St,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=7891458&url=1,287,Four Points by Sheraton Manhattan SoHo Village,Greenwich Hotel,Courtyard New York Manhattan/SoHo,Duane Street Hotel,The Dominick Hotel,The Frederick Hotel,Hilton Garden Inn New York/Tribeca,Smyth Hotel,Hampton Inn Manhattan-SoHo,The James New York - SoHo,360,625,427,395,465,365,323,422,309,446
13,12,53,192,456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"218 W 35th St, New York City, NY 10001-2562",40.751789,"New York City, NY 10001-2562",-73.991033,Renaissance New York Midtown Hotel,18446310595,4.5,807,4,218 W 35th St,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=8541913&url=0,455,Wingate by Wyndham Manhattan Midtown,Hotel Pennsylvania,Manhattan Broadway Hotel,Courtyard New York Manhattan/Chelsea,Stewart Hotel,Holiday Inn New York City - Times Square,Comfort Inn Times Square South,Element New York Times Square West,Hampton Inn Manhattan - Madison Square Garden Area,AC Hotel Times Square,332,217,197,417,285,359,239,309,305,379
16,26,85,256,580,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"52 W 13th St, New York City, NY 10011-7902",40.7361334,"New York City, NY 10011-7902",-73.9966616,Walker Hotel Greenwich Village,2123751300,4.5,1091,4,52 W 13th St,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=3522780&url=1,505,The Marlton Hotel,Chelsea Inn - 17th Street,Washington Square Hotel,The Mercer Hotel,The GEM Hotel Chelsea,Crosby Street Hotel,Hilton New York Fashion District,Midtown West Hotel,Hampton Inn Manhattan-Chelsea,The Nolitan Hotel,335,196,314,595,302,955,424,206,379,420
7,21,46,169,397,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"180 Ludlow St, New York City, NY 10002-1514",40.7218567,"New York City, NY 10002-1514",-73.9872039,The Ludlow New York City,2124321818,4.5,725,4,180 Ludlow St,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=6727310&url=1,305,Hotel Indigo Lower East Side New York,Redford Hotel,Hotel on Rivington,SIXTY LES,Holiday Inn NYC - Lower East Side,Orchard Street Hotel,The Ridge Hotel,Blue Moon Hotel,The Gatsby Hotel,Seafarers & International House,399,188,308,417,297,278,248,98,288,128
47,59,125,449,942,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"243 W 55th St, New York City, NY 10019-5202",40.7651625,"New York City, NY 10019-5202",-73.9829544,Moderne Hotel,2123976767,4.5,1985,3,243 W 55th St,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=99354&url=1,298,Da Vinci Hotel,Hilton Garden Inn New York/Central Park South-Midtown West,Courtyard by Marriott New York Manhattan/Central Park,Residence Inn New York Manhattan/Central Park,Ameritania Hotel,The Manhattan at Times Square Hotel,Novotel New York Times Square,Dream Midtown,The Michelangelo Hotel,Radio City Apartments,239,389,444,458,292,279,369,333,430,216
88,132,185,409,860,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"18 9th Avenue, New York City, NY 10014-1202",40.7398532,"New York City, NY 10014-1202",-74.0057335,Gansevoort Meatpacking NYC,2122066700,4,1904,4,18 9th Avenue,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=287626&url=1,437,Incentra Village Hotel,The Maritime Hotel,The High Line Hotel,Dream Downtown,"The Standard, High Line",Courtyard New York Manhattan/SoHo,Four Points by Sheraton Manhattan SoHo Village,The Jane,The Dominick Hotel,Hampton Inn Manhattan-SoHo,339,425,764,458,488,427,360,134,465,309
49,63,153,447,424,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"300 W 22nd St, New York City, NY 10011-2602",40.7446826,"New York City, NY 10011-2602",-73.9994754,The GEM Hotel Chelsea,,4,1295,3,300 W 22nd St,,302,Four Points by Sheraton Manhattan Midtown West,Washington Square Hotel,Hudson River Hotel,36 Hudson Hotel,Walker Hotel Greenwich Village,Dream Downtown,Midtown West Hotel,The Marlton Hotel,The Maritime Hotel,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,310,314,196,206,505,458,206,335,425,391
119,160,365,804,1348,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"310 West Broadway, New York City, NY 10013-2225",40.7221457,"New York City, NY 10013-2225",-74.0046268,Soho Grand Hotel,2129653000,4,3126,4,310 West Broadway,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=93561&url=1,484,The James New York - SoHo,Sheraton Tribeca New York Hotel,Hampton Inn Manhattan-SoHo,The Roxy Hotel Tribeca,Hilton Garden Inn New York/Tribeca,The Dominick Hotel,SIXTY SoHo,Courtyard New York Manhattan/SoHo,Four Points by Sheraton Manhattan SoHo Village,SoHo Garden Hotel,446,339,309,356,323,465,625,427,360,212
29,32,124,384,381,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1717 Broadway, New York City, NY 10019-5214",40.7644199,"New York City, NY 10019-5214",-73.9827504,Courtyard by Marriott New York Manhattan/Central Park,18446310595,4,1296,3,1717 Broadway,https://tripadvisor.com/ShowUrl?&excludeFromVS=true&odc=MobileBusinessListingsUrl&d=5039852&url=0,444,Residence Inn New York Manhattan/Central Park,Ameritania Hotel,Moderne Hotel,Hilton Garden Inn New York/Central Park South-Midtown West,Da Vinci Hotel,The Manhattan at Times Square Hotel,Dream Midtown,The Michelangelo Hotel,Novotel New York Times Square,Radio City Apartments,458,292,298,389,239,279,333,430,369,216
